Id,Label,Cat
aves_aa_4R_auth_0420,"berse, von, lexius",personne
aves_aa_4R_auth_0421,"ludemann, claus",personne
aves_aa_4R_auth_0422,"bleiweger, diebolt",personne
aves_aa_4R_auth_0423,,personne
aves_aa_4R_auth_0424,"brant, lauwel",personne
aves_aa_4R_auth_0425,"koch, johanns",personne
aves_aa_4R_auth_0426,"haffener, sixt",personne
aves_aa_4R_auth_0427,"hettemann, johanns",personne
aves_aa_4R_auth_0428,"kempf, claus",personne
aves_aa_4R_auth_0429,"bitsch, johanns",personne
aves_aa_4R_auth_0430,"klein, johanns",personne
aves_aa_4R_auth_0431,"weinbeck, heinrich",personne
aves_aa_4R_auth_0432,"desche, heinrich",personne
aves_aa_4R_auth_0433,"kiebel, johanns",personne
aves_aa_4R_auth_0434,"speich, andres",personne
aves_aa_4R_auth_0435,"pfaffe, claus",personne
aves_aa_4R_auth_0436,"binnting, walther",personne
aves_aa_4R_auth_0437,,personne
aves_aa_4R_auth_0438,"dahlheim, heinrich",personne
aves_aa_4R_auth_0439,"leutesheim, johanns",personne
aves_aa_4R_auth_0440,"hüter, johanns-marx",personne
aves_aa_4R_auth_0441,"wolff, johanns",personne
aves_aa_4R_auth_0442,,personne
aves_aa_4R_auth_0443,"barpfennig, marx",personne
aves_aa_4R_auth_0444,"lamperter, johanns",personne
aves_aa_4R_auth_0445,"kücheler, claus",personne
aves_aa_4R_auth_0446,"rohr, von, claus",personne
aves_aa_4R_auth_0447,,personne
aves_aa_4R_auth_0448,"klaue, jacob",personne
aves_aa_4R_auth_0449,"diebolt, peter",personne
aves_aa_4R_auth_0450,"schüffel, heintz",personne
aves_aa_4R_auth_0451,"girbaden, johanns",personne
aves_aa_4R_auth_0452,"schindeler, konrat",personne
aves_aa_4R_auth_0453,"lang, johanns",personne
aves_aa_4R_auth_0454,"paulus, johanns",personne
aves_aa_4R_auth_0455,"kress, konrat",personne
aves_aa_4R_auth_0456,"bidermann, claus",personne
aves_aa_4R_auth_0457,"winsticher, erhart",personne
aves_aa_4R_auth_0458,,personne
aves_aa_4R_auth_0459,"schlempe, heinrich",personne
aves_aa_4R_auth_0460,"sporer, jacob",personne
aves_aa_4R_auth_0461,"lang, claus",personne
aves_aa_4R_auth_0462,"eckboltzheim, johanns",personne
aves_aa_4R_auth_0463,"wile, von, sifrit",personne
aves_aa_4R_auth_0464,"rippel, michel",personne
aves_aa_4R_auth_0465,"reimbolt, johanns",personne
aves_aa_4R_auth_0466,"siffermann, burkhart",personne
aves_aa_4R_auth_0467,"hebnagel, johanns",personne
aves_aa_4R_auth_0468,"haffener, jacob",personne
aves_aa_4R_auth_0469,"herbst, peter",personne
aves_aa_4R_auth_0470,"fuchs, oberlin",personne
aves_aa_4R_auth_0471,,personne
aves_aa_4R_auth_0472,"dingsheim, johanns",personne
aves_aa_4R_auth_0473,"bösch, bechtolt",personne
aves_aa_4R_auth_0474,"flöss, heinrich",personne
aves_aa_4R_auth_0475,"altzheim, von, johanns",personne
aves_aa_4R_auth_0476,"rohr, von, peter",personne
aves_aa_4R_auth_0477,"freund, claus",personne
